Year,count
NaN,7
2016.0,10
2015.0,32
2014.0,20
2013.0,23
2012.0,31
2011.0,26
2010.0,28
2009.0,32
2008.0,32
2007.0,42
2006.0,53
2005.0,45
2004.0,57
2003.0,27
2002.0,22
2001.0,22
2000.0,23
1999.0,20
1998.0,17
1997.0,13
1996.0,17
1995.0,10
1994.0,8
1993.0,9
1992.0,10
1991.0,13
1990.0,7
1989.0,9
1988.0,6
1987.0,4
1986.0,6
1985.0,7
1984.0,9
1983.0,6
